source cloud id, target cloud id, registration time, rotation error, translation error
, , ms, rad, mm
52,50,50,0.00891033,0.00536938
53,50,50,0.0262183,0.027072
54,50,163,0.034017,0.08084
52,51,21,0.0156404,0.00926816
53,51,32,0.0311672,0.0230651
53,52,53,0.0144767,0.0280217
54,52,146,0.0352055,0.0687918
54,53,71,0.0169148,0.00726665
55,53,60,0.0283759,0.0273215
56,53,81,0.0157695,0.0113337
58,53,57,0.0192673,0.0330369
59,53,52,0.0426098,0.0209184
55,54,194,0.0134256,0.00581659
56,54,121,0.0231977,0.0269943
57,54,105,0.0151447,0.0250761
58,54,35,0.0319306,0.0148802
59,54,140,0.0138367,0.0129483
56,55,97,0.00818511,0.0190087
57,55,322,0.0347316,0.0701611
58,55,188,0.0130291,0.0159469
59,55,67,0.0404034,0.0122655
57,56,139,0.0089237,0.0151106
58,56,71,0.0414494,0.0144
59,56,115,0.0149706,0.0315073
58,57,264,0.0460762,0.0578711
59,57,85,0.0121778,0.0215583
59,58,91,0.0141939,0.0249785
